# overnight-seo-404.log 2026-09-20T01:03:10+00:00
sitemap: https://www.colddirect.co.uk/sitemap.xml
urls: 109
failures: 3
status | Desktop Status | Mobile Status | Robots tag | URL
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/catering-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/subzero-fridge-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/coverage/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/blast-chiller-repair-north-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/blog/why-commercial-freezer-not-freezing/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/blog/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/blog/why-commercial-fridge-not-cold-enough/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/ice-o-matic-fridge-repairs/

## FAILURES
FAIL | 301 | 301 | NONE | https://www.colddirect.co.uk/blog/commercial-fridge-repair-cost-london/
FAIL | 301 | 301 | NONE | https://www.colddirect.co.uk/contact/
FAIL | 301 | 301 | NONE | https://www.colddirect.co.uk/about-us/

Loop detail (HEAD, no follow):
- /about-us/ -> 301 /about-us.html ; /about-us.html -> 301 /about-us/
- /contact/ -> 301 /contact.html ; /contact.html -> 301 /contact/
- /blog/commercial-fridge-repair-cost-london/ -> 301 .html ; .html -> 301 /

NOTE: live site is Microsoft-IIS/PleskWin, not WordPress+nginx. wp rewrite / nginxmng skipped.

## 2026-09-20 REPO FIX (pending FTP deploy)
web.config: serve folder index.html first; rewrite about-us / contact / blog-cost slash and .html to folder index.html (stopProcessing).
NOINDEX: supermarket-fridge-repair-london live noindex,nofollow -> index,follow in .html + folder.
REPO DRIFT: air-conditioning-repair-london.html + folder noindex -> index,follow (live already index).
